date,region,sales,orders,total_sessions,total_carts,total_checkouts,total_pageviews
23/10/2023,Quintana Roo,0.84,1,765,38,16,2752
09/12/2023,Colima,29.92,1,174,4,3,536
29/12/2023,Tamaulipas,29.93,1,692,14,13,1930
24/06/2024,Durango,29.95,1,219,10,6,655
18/09/2024,Nayarit,29.99,1,194,7,2,569
06/03/2024,Morelos,29.99,1,701,20,8,2077
08/11/2023,Tlaxcala,29.99,1,159,6,7,463
09/06/2024,Tabasco,30.9,1,775,36,12,2889
21/04/2024,Colima,39.91,1,230,8,5,685
03/06/2024,Chihuahua,44.83,1,1025,20,7,2764
17/04/2024,Nayarit,49.93,1,218,9,3,600
20/10/2023,Aguascalientes,49.95,1,290,15,10,1062
20/01/2024,Baja California Sur,58.92,1,196,9,3,613
25/01/2024,San Luis Potosí,61.01,1,372,9,4,935
09/05/2024,Morelos,64,1,1222,25,9,2614
01/02/2024,Campeche,69.97,1,316,15,10,1307
01/03/2024,Tlaxcala,74.98,1,158,7,2,409
27/01/2024,Zacatecas,79.98,2,190,10,4,550
11/09/2024,San Luis Potosí,80,1,575,17,7,1633
24/09/2024,Tabasco,84.94,1,968,46,13,3217
14/06/2024,Tlaxcala,89.99,1,190,3,1,466
01/02/2024,Durango,90,1,238,9,5,652
06/03/2024,Oaxaca,90.03,1,252,7,8,693
06/06/2024,Querétaro,94.98,1,952,25,7,2570
25/01/2024,Campeche,99.61,1,248,7,8,738
23/01/2024,Oaxaca,99.99,1,161,4,3,398
03/02/2024,Chihuahua,100.99,1,795,38,27,2577
13/05/2024,Oaxaca,109.91,1,189,8,1,472
26/09/2024,Aguascalientes,109.92,1,545,35,4,1692
07/01/2024,Campeche,114.96,1,308,13,13,959
03/05/2024,San Luis Potosí,119.96,1,693,25,8,1847
24/01/2024,Baja California,119.98,1,915,30,20,2341
20/09/2023,Tamaulipas,119.99,1,719,25,7,2329
18/09/2023,Morelos,119.99,1,311,16,5,1007
10/09/2023,Durango,119.99,1,211,8,3,524
29/01/2024,Baja California,119.99,1,865,26,23,2227
10/11/2023,Tamaulipas,129.99,1,1120,38,35,3632
14/08/2023,Baja California,129.99,1,1229,32,8,2960
08/03/2024,Oaxaca,139,1,286,13,4,712
16/01/2024,Chiapas,139.98,1,365,18,14,1276
06/10/2023,Durango,139.99,1,246,12,5,670
17/01/2024,Aguascalientes,139.99,1,234,12,6,719
03/09/2024,San Luis Potosí,139.99,1,704,22,6,2043
08/01/2024,Chihuahua,139.99,1,827,31,25,2471
30/05/2024,Chiapas,141.79,1,316,10,8,1053
10/08/2024,Colima,144.92,1,247,11,3,762
07/11/2023,Coahuila,145.98,1,1129,47,23,3480
18/01/2024,Colima,149.15,2,159,8,7,524
14/09/2023,Nayarit,149.98,1,99,4,1,252
29/09/2023,Campeche,149.98,1,121,5,2,409
27/09/2023,Tlaxcala,159.6,1,127,5,1,425
25/06/2024,Hidalgo,159.97,1,421,21,15,1417
07/04/2024,Baja California,159.99,1,1456,42,11,3437
13/02/2024,Baja California,159.99,1,1046,29,20,2919
09/09/2023,Colima,159.99,1,91,8,4,337
04/05/2024,Colima,159.99,1,286,11,2,768
15/01/2024,Aguascalientes,164.99,1,282,10,10,826
16/09/2024,Durango,169,1,302,9,3,875
01/09/2023,Tabasco,169.97,1,454,19,8,1392
17/10/2023,Durango,169.98,1,221,7,0,596
09/01/2024,Coahuila,169.98,1,830,23,8,2433
28/08/2023,Chiapas,169.98,1,199,8,2,491
15/01/2024,Durango,169.98,1,180,5,3,489
16/12/2023,Campeche,169.98,1,345,7,7,822
30/09/2023,Baja California,169.99,1,549,9,3,1649
04/08/2023,Hidalgo,169.99,1,399,10,5,1014
21/09/2023,Durango,174,1,145,8,3,548
15/10/2023,Campeche,177.96,1,204,9,3,617
16/01/2024,Chihuahua,179.84,3,757,36,27,2791
19/08/2023,Quintana Roo,179.99,1,774,18,10,1769
19/10/2023,Baja California,189.98,1,1044,34,12,3105
05/11/2023,Baja California Sur,189.98,1,287,11,7,864
16/09/2023,Tlaxcala,189.98,1,89,7,5,314
25/09/2023,Tamaulipas,189.99,1,624,36,20,2160
16/11/2023,Baja California,189.99,1,1320,53,42,3930
25/03/2024,Querétaro,189.99,1,1283,39,15,3499
07/10/2023,Hidalgo,189.99,1,532,18,6,1530
15/10/2023,Tlaxcala,189.99,1,186,12,5,768
19/09/2023,Chiapas,189.99,1,235,10,3,714
22/11/2023,Zacatecas,189.99,1,364,16,11,1206
27/08/2023,Zacatecas,189.99,1,242,8,5,621
31/08/2023,Coahuila,189.99,1,713,22,9,1909
04/02/2024,Coahuila,189.99,1,813,29,23,2670
06/10/2023,Tamaulipas,193.48,1,1010,29,7,2734
27/12/2023,Sonora,193.99,1,583,29,19,1984
29/01/2024,Nayarit,199.94,1,162,6,8,607
11/02/2024,Chiapas,204.87,1,324,15,15,998
14/05/2024,Aguascalientes,204.9,2,311,13,5,877
24/11/2023,Zacatecas,206.98,1,328,17,8,1267
12/01/2024,Aguascalientes,209.94,1,251,16,7,846
12/04/2024,Baja California,209.96,1,1644,41,10,4225
17/08/2023,Durango,209.96,1,295,9,2,709
03/11/2023,Baja California,209.96,1,1248,37,25,3657
05/01/2024,Baja California Sur,209.96,1,206,9,8,571
24/04/2024,Tlaxcala,209.97,1,172,5,3,489
25/10/2023,Yucatán,209.97,1,1148,61,29,3573
16/12/2023,Zacatecas,209.98,1,273,12,12,690
18/01/2024,Morelos,209.99,1,579,22,15,1449
09/11/2023,Campeche,209.99,1,231,11,6,748
17/12/2023,Hidalgo,209.99,1,569,28,17,1599
08/12/2023,Durango,209.99,1,318,15,9,981
24/09/2023,Chiapas,214.42,1,283,20,9,1043
18/10/2023,Morelos,214.96,1,536,23,6,1567
02/09/2023,Durango,219.99,1,145,4,3,318
04/09/2023,Tabasco,219.99,1,456,24,13,1410
11/09/2023,Tamaulipas,219.99,1,731,15,4,1796
21/09/2024,Guerrero,219.99,1,480,19,6,1329
18/10/2023,Colima,219.99,1,144,8,3,548
12/02/2024,Zacatecas,220.04,1,209,5,3,667
21/10/2023,Yucatán,224.98,1,844,39,11,2888
16/06/2024,Zacatecas,224.98,1,246,5,3,616
23/06/2024,Colima,226,1,179,13,6,690
28/10/2023,Morelos,229.96,1,737,25,16,1917
18/02/2024,San Luis Potosí,229.97,1,391,12,14,1250
20/04/2024,Baja California,229.98,1,1168,23,13,2844
26/12/2023,Sonora,229.98,1,549,23,19,1630
03/03/2024,Zacatecas,229.98,1,301,13,7,906
17/02/2024,Michoacán,229.98,1,727,13,15,2213
11/12/2023,Baja California Sur,229.99,1,344,10,6,927
14/08/2023,Zacatecas,236.98,1,277,10,2,611
01/11/2023,Hidalgo,239.95,1,297,9,8,847
01/10/2023,Aguascalientes,239.95,1,393,22,10,1195
22/01/2024,Durango,239.98,1,206,13,5,605
30/06/2024,Baja California Sur,239.98,1,318,7,1,1006
13/06/2024,Colima,239.99,1,217,7,0,602
27/04/2024,Zacatecas,239.99,1,256,10,2,659
27/10/2023,Tamaulipas,239.99,1,1303,39,27,3824
25/06/2024,Nayarit,239.99,1,189,9,4,656
15/02/2024,Durango,239.99,1,209,8,6,526
11/08/2024,Zacatecas,239.99,1,364,16,9,1136
06/01/2024,Zacatecas,239.99,1,219,10,10,801
19/06/2024,Campeche,239.99,1,256,11,2,916
04/05/2024,Aguascalientes,239.99,1,432,16,6,1172
17/09/2024,San Luis Potosí,249.95,1,518,8,3,1451
